# project_name=keliya solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
riv,90,0,0,0,19
riv,91,0,0,0,17
riv,92,0,0,0,19
riv,93,0,0,0,20
riv,94,0,0,0,21
riv,95,0,0,0,25
riv,96,0,0,0,27
riv,97,0,0,0,27
riv,98,0,0,0,27
riv,99,0,0,0,26
riv,100,0,0,0,22
riv,101,0,0,0,24
riv,102,0,0,0,22
riv,103,0,0,0,20
riv,104,0,0,0,17
riv,105,0,0,0,17
riv,106,0,0,0,18
riv,107,0,0,0,18
riv,108,0,0,0,18
riv,109,0,0,0,18
riv,110,0,0,0,18
riv,111,0,0,0,24
riv,112,0,0,0,24
riv,113,0,0,0,24
riv,114,0,0,0,22
riv,115,0,0,0,17
riv,116,0,0,0,15
riv,117,0,0,0,13
riv,118,0,0,0,13
riv,119,0,0,0,12
riv,120,0,0,0,12
riv,121,0,0,0,11
riv,122,0,0,0,12
riv,123,0,0,0,12
riv,124,0,0,0,13
riv,125,0,0,0,12
riv,126,0,0,0,12
riv,127,0,0,0,12
riv,128,0,0,0,11
riv,129,0,0,0,11
riv,130,0,0,0,13
riv,131,0,0,0,15
riv,132,0,0,0,17
riv,133,0,0,0,11
riv,134,0,0,0,13
riv,135,0,0,0,9
riv,136,0,0,0,11
riv,137,0,0,0,15
riv,138,0,0,0,15
riv,139,0,0,0,15
riv,140,0,0,0,13
riv,141,0,0,0,40
riv,142,0,0,0,40
riv,143,0,0,0,40
riv,144,0,0,0,44
riv,145,0,0,0,38
riv,146,0,0,0,36
riv,147,0,0,0,32
riv,148,0,0,0,34
riv,149,0,0,0,36
riv,150,0,0,0,36
riv,151,0,0,0,30
riv,152,0,0,0,32
riv,153,0,0,0,34
riv,154,0,0,0,36
riv,155,0,0,0,36
riv,156,0,0,0,34
riv,157,0,0,0,34
riv,158,0,0,0,34
riv,159,0,0,0,34
riv,160,0,0,0,34
riv,161,0,0,0,30
riv,162,0,0,0,30
riv,163,0,0,0,30
riv,164,0,0,0,30
riv,165,0,0,0,38
riv,166,0,0,0,38
riv,167,0,0,0,32
riv,168,0,0,0,33
riv,169,0,0,0,43
riv,170,0,0,0,41
riv,171,0,0,0,43
riv,172,0,0,0,43
riv,173,0,0,0,47
riv,174,0,0,0,32
riv,175,0,0,0,32
riv,176,0,0,0,32
riv,177,0,0,0,32
riv,178,0,0,0,49
riv,179,0,0,0,49
riv,180,0,0,0,45
riv,181,0,0,0,39
riv,182,0,0,0,33
riv,183,0,0,0,31
riv,184,0,0,0,33
riv,185,0,0,0,35
riv,186,0,0,0,34
riv,187,0,0,0,32
riv,188,0,0,0,30
riv,189,0,0,0,30
riv,190,0,0,0,30
riv,191,0,0,0,17
riv,192,0,0,0,17
riv,193,0,0,0,17
riv,194,0,0,0,20
riv,195,0,0,0,19
riv,196,0,0,0,19
riv,197,0,0,0,19
riv,198,0,0,0,18
riv,199,0,0,0,21
riv,200,0,0,0,21
riv,201,0,0,0,20
riv,202,0,0,0,11
riv,203,0,0,0,11
riv,204,0,0,0,13
riv,205,0,0,0,17
riv,206,0,0,0,20
riv,207,0,0,0,19
riv,208,0,0,0,9
riv,209,0,0,0,5
riv,210,0,0,0,5
riv,211,0,0,0,13
riv,212,0,0,0,13
riv,213,0,0,0,13
riv,214,0,0,0,17
riv,215,0,0,0,17
riv,216,0,0,0,17
riv,217,0,0,0,19
riv,218,0,0,0,21
riv,219,0,0,0,20
riv,220,0,0,0,18
riv,221,0,0,0,20
riv,222,0,0,0,5
riv,223,0,0,0,9
riv,224,0,0,0,11
riv,225,0,0,0,11
riv,226,0,0,0,13
riv,227,0,0,0,11
riv,228,0,0,0,23
riv,229,0,0,0,29
riv,230,0,0,0,22
riv,231,0,0,0,22
riv,232,0,0,0,23
riv,233,0,0,0,25
riv,234,0,0,0,25
riv,235,0,0,0,23
riv,236,0,0,0,23
riv,237,0,0,0,24
riv,238,0,0,0,26
riv,239,0,0,0,3
riv,240,0,0,0,3
riv,241,0,0,0,3
riv,242,0,0,0,3
riv,243,0,0,0,3
riv,244,0,0,0,1
riv,245,0,0,0,5
riv,246,0,0,0,5
riv,247,0,0,0,5
riv,248,0,0,0,7
riv,249,0,0,0,7
riv,250,0,0,0,9
riv,251,0,0,0,5
