# project_name=xinanjiang solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
riv,70,0,0,0,42
riv,71,0,0,0,40
riv,72,0,0,0,32
riv,73,0,0,0,36
riv,74,0,0,0,30
riv,75,0,0,0,48
riv,76,0,0,0,40
riv,77,0,0,0,40
riv,78,0,0,0,42
riv,79,0,0,0,43
riv,80,0,0,0,59
riv,81,0,0,0,61
riv,82,0,0,0,57
riv,83,0,0,0,57
riv,84,0,0,0,59
riv,85,0,0,0,54
riv,86,0,0,0,52
riv,87,0,0,0,49
riv,88,0,0,0,56
riv,89,0,0,0,52
riv,90,0,0,0,48
riv,91,0,0,0,55
riv,92,0,0,0,54
riv,93,0,0,0,46
riv,94,0,0,0,54
riv,95,0,0,0,52
riv,96,0,0,0,63
riv,97,0,0,0,65
riv,98,0,0,0,53
riv,99,0,0,0,47
riv,100,0,0,0,61
riv,101,0,0,0,65
riv,102,0,0,0,79
riv,103,0,0,0,75
riv,104,0,0,0,77
riv,105,0,0,0,89
riv,106,0,0,0,79
riv,107,0,0,0,67
riv,108,0,0,0,58
riv,109,0,0,0,58
riv,110,0,0,0,54
riv,111,0,0,0,65
riv,112,0,0,0,77
riv,113,0,0,0,69
riv,114,0,0,0,63
riv,115,0,0,0,87
riv,116,0,0,0,70
riv,117,0,0,0,61
riv,118,0,0,0,58
riv,119,0,0,0,57
riv,120,0,0,0,55
riv,121,0,0,0,51
riv,122,0,0,0,49
riv,123,0,0,0,49
riv,124,0,0,0,77
riv,125,0,0,0,77
riv,126,0,0,0,60
riv,127,0,0,0,103
riv,128,0,0,0,63
riv,129,0,0,0,107
riv,130,0,0,0,95
riv,131,0,0,0,92
riv,132,0,0,0,83
riv,133,0,0,0,81
riv,134,0,0,0,78
riv,135,0,0,0,72
riv,136,0,0,0,72
riv,137,0,0,0,81
riv,138,0,0,0,77
riv,139,0,0,0,93
riv,140,0,0,0,82
riv,141,0,0,0,91
riv,142,0,0,0,77
riv,143,0,0,0,73
riv,144,0,0,0,69
riv,145,0,0,0,62
riv,146,0,0,0,61
riv,147,0,0,0,71
riv,148,0,0,0,89
riv,149,0,0,0,93
riv,150,0,0,0,91
riv,151,0,0,0,85
riv,152,0,0,0,75
riv,153,0,0,0,132
riv,154,0,0,0,112
riv,155,0,0,0,111
riv,156,0,0,0,75
riv,157,0,0,0,67
riv,158,0,0,0,71
riv,159,0,0,0,64
riv,160,0,0,0,66
riv,161,0,0,0,65
riv,162,0,0,0,62
riv,163,0,0,0,81
riv,164,0,0,0,85
riv,165,0,0,0,76
riv,166,0,0,0,76
riv,167,0,0,0,73
riv,168,0,0,0,107
riv,169,0,0,0,123
riv,170,0,0,0,121
riv,171,0,0,0,132
riv,172,0,0,0,119
riv,173,0,0,0,98
riv,174,0,0,0,93
riv,175,0,0,0,102
riv,176,0,0,0,107
riv,177,0,0,0,101
riv,178,0,0,0,103
riv,179,0,0,0,67
riv,180,0,0,0,77
riv,181,0,0,0,75
riv,182,0,0,0,101
riv,183,0,0,0,127
riv,184,0,0,0,130
riv,185,0,0,0,110
riv,186,0,0,0,250
riv,187,0,0,0,87
riv,188,0,0,0,77
riv,189,0,0,0,72
riv,190,0,0,0,84
riv,191,0,0,0,139
riv,192,0,0,0,133
riv,193,0,0,0,195
riv,194,0,0,0,71
riv,195,0,0,0,77
riv,196,0,0,0,85
riv,197,0,0,0,73
riv,198,0,0,0,65
riv,199,0,0,0,107
riv,200,0,0,0,121
riv,201,0,0,0,87
riv,202,0,0,0,91
riv,203,0,0,0,83
riv,204,0,0,0,73
riv,205,0,0,0,69
riv,206,0,0,0,62
riv,207,0,0,0,72
riv,208,0,0,0,99
riv,209,0,0,0,77
riv,210,0,0,0,171
riv,211,0,0,0,101
riv,212,0,0,0,125
riv,213,0,0,0,65
riv,214,0,0,0,66
riv,215,0,0,0,63
riv,216,0,0,0,63
